seed,old_hash,current_hash,hash_changed,current_outcome,current_player_outcome,current_rival_outcome,current_player_final_pop,current_rival_final_pop,old_source
1337,5101d7c52c007c01,5101d7c52c007c01,false,victory,victory,gameOver,9,0,docs/fleet/reports/wave0/W0-A.md
1338,1d6e8afbadcc2857,1d6e8afbadcc2857,false,gameOver,gameOver,victory,0,39,docs/fleet/reports/wave0/W0-A.md
1339,2e89d70f70296a7b,2e89d70f70296a7b,false,gameOver,gameOver,victory,0,24,docs/fleet/reports/wave0/W0-A.md
1340,b75aba4755593fb7,b75aba4755593fb7,false,victory,victory,gameOver,28,0,docs/fleet/reports/wave0/W0-A.md
1341,fca8617abbb3f2f6,fca8617abbb3f2f6,false,victory,victory,gameOver,91,0,docs/fleet/reports/wave0/W0-A.md
1342,1897ceb6108277b6,1897ceb6108277b6,false,victory,victory,gameOver,80,0,docs/fleet/reports/wave0/W0-A.md
1343,bed761ead7507a76,bed761ead7507a76,false,victory,victory,gameOver,51,0,docs/fleet/reports/wave0/W0-A.md
1344,2a0e9c22ec163d0a,2a0e9c22ec163d0a,false,gameOver,gameOver,victory,0,37,docs/fleet/reports/wave0/W0-A.md
1345,871c5298b3da8c48,871c5298b3da8c48,false,victory,victory,gameOver,36,0,docs/fleet/reports/wave0/W0-A.md
1346,da4d2304cc3b4cb8,da4d2304cc3b4cb8,false,victory,victory,gameOver,85,0,docs/fleet/reports/wave0/W0-A.md
1347,eaf0fb498b6abf69,eaf0fb498b6abf69,false,victory,victory,gameOver,23,0,docs/fleet/reports/wave0/W0-A.md
1348,47bcbdf68d3a5a8a,47bcbdf68d3a5a8a,false,victory,victory,gameOver,124,0,docs/fleet/reports/wave0/W0-A.md
1349,e004afc6dcb92816,e004afc6dcb92816,false,victory,victory,gameOver,100,0,docs/fleet/reports/wave0/W0-A.md
1350,a91353354b73de61,a91353354b73de61,false,victory,victory,gameOver,36,0,docs/fleet/reports/wave0/W0-A.md
1351,b1527a237c62b50f,b1527a237c62b50f,false,victory,victory,gameOver,156,0,docs/fleet/reports/wave0/W0-A.md
1352,1019a00ef880f89a,1019a00ef880f89a,false,victory,victory,gameOver,174,0,docs/fleet/reports/wave0/W0-A.md
