seed,arm,outcome,finalTick,finalHash,playerFinalPop,rivalFinalPop,playerPeakPop,rivalPeakPop,playerStarvationDeaths,rivalStarvationDeaths,playerStarvationMedianDeliveries,rivalStarvationMedianDeliveries,playerFoodDelivered,rivalFoodDelivered
3000,placebo,victory,21750,cefbc0417d26cf8d,75,0,200,168,191,166,4,0,1421,474
3001,placebo,victory,21136,da52f2944454762c,18,0,204,161,208,144,4,0,1034,579
3002,placebo,victory,21367,85bde2280b15b514,55,0,199,160,190,140,3,0,1103,537
3003,placebo,victory,16543,62d87b2f4f90e53f,58,0,197,170,158,122,3,0,773,371
3004,placebo,victory,27083,40ed54afaad7ce23,4,0,196,157,207,141,3,0,1011,642
3005,placebo,gameOver,26425,75db395f0084b4fb,0,23,197,165,211,160,3,0,931,667
3006,placebo,victory,13910,58db7ccac9edc7b2,115,0,211,167,122,104,3,0,1020,283
3007,placebo,victory,6105,cbefcb3c536c21e4,160,0,178,166,25,64,0,0,598,121
3008,placebo,victory,13347,1b6911e4ee040f10,87,0,211,165,145,101,3,0,958,274
3009,placebo,victory,14432,ca4a0b9d61c308f9,124,0,224,164,135,102,2,0,1212,334
3010,placebo,victory,25125,2ace5c4dee388b41,8,0,197,163,217,174,3,0,1064,688
3011,placebo,gameOver,34356,eb16efa2290ae032,0,5,197,165,218,162,2,0,936,661
3012,placebo,victory,19736,bb7c820ea3e58e46,51,0,219,167,227,151,4,0,1463,474
3013,placebo,victory,15111,7a9de13b759e5837,81,0,191,171,119,103,3,0,681,460
3014,placebo,gameOver,32161,21b8d451e917c0c1,0,32,196,174,196,159,3.5,0,960,725
3015,placebo,gameOver,27240,dbe640f23b73734a,0,11,217,167,257,177,4,1,1268,708
3016,placebo,gameOver,26207,90efbf851912e455,0,9,218,166,297,177,4,0,1739,649
3017,placebo,victory,19659,615a6eff4fd0cd5f,47,0,197,165,168,108,3,0,824,584
3018,placebo,gameOver,24010,9064b31018a27fa8,0,5,196,166,188,173,3,0,885,620
3019,placebo,victory,22450,ea7c916ee029f5f6,2,0,194,165,187,174,2,0,738,457
