seed,arm,outcome,finalTick,finalHash,playerFinalPop,rivalFinalPop,playerPeakPop,rivalPeakPop,playerStarvationDeaths,rivalStarvationDeaths,playerStarvationMedianDeliveries,rivalStarvationMedianDeliveries,playerFoodDelivered,rivalFoodDelivered
3000,unattended,victory,21604,d23ef9c4671c8168,73,0,200,168,191,167,4,0,1412,475
3001,unattended,gameOver,27580,db3f81b6408bb3ae,0,6,204,161,208,159,4,0,1135,532
3002,unattended,gameOver,25695,bad5bf5b50ced40f,0,1,199,160,240,151,4,0,1106,683
3003,unattended,victory,16618,ce9275c58075cba1,60,0,197,170,156,119,3,0,778,374
3004,unattended,gameOver,23018,30241325d35d908d,0,7,196,157,187,123,3,0,920,475
3005,unattended,victory,17801,a674e5f8f3590e6c,50,0,197,165,168,155,3,0,805,419
3006,unattended,victory,13910,816ec1f1ecc58f35,116,0,211,167,122,104,3,0,1029,283
3007,unattended,victory,6105,8bc2a90b7305a337,160,0,178,166,25,64,0,0,598,121
3008,unattended,victory,13347,e32d2a900c735a34,87,0,211,165,145,101,3,0,965,274
3009,unattended,victory,14432,a4eaa4cb2e7cf65f,124,0,224,164,135,102,2,0,1215,334
3010,unattended,victory,25125,192b36746172209c,8,0,197,163,217,174,3,0,1064,688
3011,unattended,victory,21382,77965e60242cb97c,42,0,197,165,177,136,3,0,857,568
3012,unattended,victory,19838,8728dedd2ce39c1d,46,0,219,167,229,149,4,0,1462,483
3013,unattended,victory,15182,0dbdb0c858679354,78,0,191,171,122,99,3,0,687,498
3014,unattended,gameOver,24077,fdb35931d3ab850d,0,10,196,174,205,183,3,0,921,746
3015,unattended,victory,25400,5c6f0e7bdcfc9847,30,0,217,167,223,167,4,1,1246,706
3016,unattended,gameOver,29727,4fb9dd63a6d8e7ff,0,22,218,166,291,166,4,0,1790,775
3017,unattended,victory,19659,b2d64300f22ce298,47,0,197,165,168,108,3,0,824,584
3018,unattended,gameOver,24010,0d010fbd44dc1a5d,0,5,196,166,188,173,3,0,885,620
3019,unattended,victory,20599,a1e6fb0a66798ede,23,0,194,165,180,165,2,0,736,456
3000,rescue,victory,14969,739dff72fea1fc42,131,0,200,168,133,133,2,0,1283,368
3001,rescue,gameOver,20893,d7b595a2b03b6312,0,15,204,161,195,152,4,0,1034,417
3002,rescue,victory,26204,e53878b9384c94d9,19,0,199,160,241,169,4,0,1281,612
3003,rescue,victory,21588,7fcc1b905a00f298,41,0,197,170,178,167,3,0,972,441
3004,rescue,victory,30389,903b7abfafb7cceb,12,0,196,157,217,140,3,0,1171,514
3005,rescue,gameOver,28554,d8d2b84f748c5297,0,20,197,165,213,168,3,0,1066,803
3006,rescue,victory,21987,4a2f656bfb31979b,57,0,211,167,195,146,4,0,1337,691
3007,rescue,victory,6105,967629967f98adaa,160,0,178,166,25,64,0,0,598,121
3008,rescue,victory,12331,10e9d13e829d89be,124,0,211,165,122,95,2,0,1086,258
3009,rescue,victory,17117,b2b2d8984d6b78c4,126,0,229,164,159,140,4,0,1521,449
3010,rescue,victory,20379,372dcbe2535f8d32,67,0,197,163,194,134,3,0,1239,594
3011,rescue,victory,26163,ac998875aa1532b1,32,0,197,165,203,154,3,0,1118,740
3012,rescue,gameOver,28131,4ab14025c83f7ae1,0,1,222,167,315,154,5,0,2055,356
3013,rescue,victory,14455,f1f81f6152f7a21d,95,0,191,171,119,120,2,0,798,378
3014,rescue,victory,23724,f0cb034bccfe9e9b,15,0,196,174,214,168,3,0,1002,632
3015,rescue,victory,19146,c359ea71812bb801,87,0,217,167,181,148,4,1,1363,397
3016,rescue,victory,24842,ae4599e856550830,33,0,219,166,257,151,4,0,1608,384
3017,rescue,gameOver,24139,48b24b7bf23d217f,0,41,197,165,194,136,3,0,911,689
3018,rescue,victory,22363,64ba42de05a00bae,17,0,196,166,182,142,3.5,0,914,458
3019,rescue,gameOver,47713,6e3bf7c3c94308ef,0,98,194,165,221,152,3,0,1009,1772
