seed,arm,outcome,finalTick,finalHash,playerFinalPop,rivalFinalPop,playerPeakPop,rivalPeakPop,playerStarvationDeaths,rivalStarvationDeaths,playerStarvationMedianDeliveries,rivalStarvationMedianDeliveries,playerFoodDelivered,rivalFoodDelivered
3000,unattended,victory,11227,6f252473406a97db,110,0,195,167,120,125,1,0,872,329
3001,unattended,victory,19715,432fcf4649cabd2e,55,0,199,169,170,163,3.5,0,1060,459
3002,unattended,victory,20130,d33ef2538cc88127,34,0,193,159,198,157,4,0,949,405
3003,unattended,gameOver,21170,b67ed48f1a0ac833,0,37,194,161,180,145,3,0,734,663
3004,unattended,victory,26769,9c78d368049e3ecc,25,0,201,162,180,151,3,0,844,351
3005,unattended,victory,11187,9fb3ac242c3ee6c8,109,0,193,164,105,128,1,0,705,264
3006,unattended,victory,10147,c6ae446f166920eb,146,0,206,166,77,107,4,0,896,226
3007,unattended,victory,6450,5eefc0b558f014f9,166,0,175,166,27,87,0,0,569,121
3008,unattended,victory,11242,987f991cb40790fc,125,0,207,164,112,132,2,0,966,150
3009,unattended,victory,27949,30d269c7efe3cb9f,5,0,198,159,271,148,4,0,1439,565
3010,unattended,victory,23270,33301b4674aa5762,23,0,191,161,209,155,3,0,1044,541
3011,unattended,victory,25103,0aa947d2557eed72,14,0,198,158,202,143,3,0,940,668
3012,unattended,victory,13637,6096693b91737bf3,153,0,190,166,137,133,2,0,1451,301
3013,unattended,victory,9497,ed54b95e9a23fbfe,71,0,186,164,112,103,2,0,432,158
3014,unattended,victory,9610,9ae1300f35928a3b,108,0,187,167,88,95,0,0,549,222
3015,unattended,victory,11772,081576937fd99aa7,95,0,212,169,140,130,2.5,0,920,228
3016,unattended,gameOver,26384,8ad049c46891e62c,0,14,203,164,276,158,4,0,1661,609
3017,unattended,victory,18187,662fad61b5b404bd,20,0,194,166,163,157,4,0,770,338
3018,unattended,victory,16164,66c6f6501163f5a4,64,0,180,166,146,159,1,0,761,240
3019,unattended,gameOver,20323,11de2d752cab4701,0,4,193,167,171,158,3,0,696,382
3000,rescue,victory,11015,bc2fbba51252eb99,159,0,196,167,91,127,0,0,1077,332
3001,rescue,victory,18132,032e1894a8cade74,78,0,199,169,155,139,2,0,1147,394
3002,rescue,gameOver,27165,2c2e64fd01139b01,0,13,193,159,237,154,4,0,1230,676
3003,rescue,gameOver,19503,7ad66f323b19622a,0,62,194,161,168,119,3,0,740,601
3004,rescue,victory,24467,618d6ac15ff2e285,21,0,201,162,212,155,4,0,1008,502
3005,rescue,victory,11288,8128d7ebe006dd0b,108,0,193,164,107,126,1,0,709,271
3006,rescue,victory,10160,5e5e220955f21a51,137,0,206,166,84,108,3.5,0,939,224
3007,rescue,victory,6450,cf2eaa6465e1a70c,166,0,175,166,27,87,0,0,585,121
3008,rescue,victory,11171,2d19f592e237d36a,135,0,207,164,108,130,2,0,1021,154
3009,rescue,victory,21770,a4941f77e97c53f7,36,0,200,159,217,140,4,0,1413,482
3010,rescue,victory,18634,67ace6d9a64ea349,69,0,191,161,175,156,2,0,1133,422
3011,rescue,running,50000,287ad350e0ddffe8,1,64,198,158,232,150,4,0,1183,1283
3012,rescue,gameOver,30001,ccfdccdeae49e6ae,0,33,190,166,320,143,4,0,1958,789
3013,rescue,victory,9391,86eb2d9a6529655e,81,0,186,164,111,108,2,0,512,155
3014,rescue,victory,23828,f5fe15e22cb7f2be,28,0,187,167,178,160,3,0,980,581
3015,rescue,victory,11574,bfb59dc1ed360ad5,135,0,212,169,113,132,2,0,1048,225
3016,rescue,victory,27805,6f698427abd966ab,16,0,204,164,276,170,5,0,1730,303
3017,rescue,victory,10932,e1bfef18c4627680,113,0,194,166,98,101,1.5,0,736,284
3018,rescue,victory,12071,5c6ab2f4a7e48bfc,119,0,180,166,96,129,1,0,745,220
3019,rescue,victory,14942,6ac521640ed69eb0,74,0,193,167,140,135,2,0,777,372
