seed,arm,outcome,finalTick,finalHash,playerFinalPop,rivalFinalPop,playerPeakPop,rivalPeakPop,playerStarvationDeaths,rivalStarvationDeaths,playerStarvationMedianDeliveries,rivalStarvationMedianDeliveries,playerFoodDelivered,rivalFoodDelivered
3000,unattended,gameOver,26504,6bcb7ee01f80edd8,0,30,189,166,245,150,4,0,1290,513
3001,unattended,victory,11556,2d62af0e5902a9be,117,0,200,167,93,137,1,0,761,263
3002,unattended,victory,25723,473c3037f44016af,11,0,192,166,222,192,3,0,1037,706
3003,unattended,victory,25672,7b4ef1265d3ee772,0,0,196,164,207,194,3,0,784,758
3004,unattended,victory,20695,2480b8e806ff0290,34,0,196,159,183,135,3,0,882,288
3005,unattended,gameOver,30735,56e2ba6772b1900f,0,1,187,162,197,176,2,0,796,458
3006,unattended,victory,19636,65228964ef0de3a8,50,0,207,166,197,167,4,0,1174,473
3007,unattended,victory,13709,8f073f95a0d4fec1,111,0,179,170,130,147,2,0,938,256
3008,unattended,victory,20057,67340e2a22b4ba5a,56,0,215,171,198,141,4,1,1245,363
3009,unattended,victory,21086,d88d7f77372ad5eb,28,0,206,166,239,182,3,0,1385,464
3010,unattended,victory,17847,ca2d48381e97cef4,54,0,198,165,176,166,3,0,963,512
3011,unattended,victory,23754,e8c4c25f10a56967,15,0,199,163,192,175,4,0,994,416
3012,unattended,victory,24628,d97ca0d1f13afad1,34,0,217,167,264,187,6,0,1866,638
3013,unattended,victory,14920,97e1b4939c5f9687,59,0,186,166,136,145,1,0,608,302
3014,unattended,gameOver,20555,03aa37699425ac55,0,32,195,170,175,152,3,1,804,547
3015,unattended,victory,14155,d9ff6ca23461b9d2,120,0,197,167,133,150,3,1,1130,443
3016,unattended,victory,11319,e2cdfcef087f114f,162,0,217,167,94,135,2,0,1113,241
3017,unattended,victory,13161,d323d4eac38b3e22,91,0,190,172,121,147,1,0,718,245
3018,unattended,victory,21403,c108e2a987d90e71,40,0,196,169,172,145,3,1,785,432
3019,unattended,gameOver,20232,7a5dd7efc6b6d97b,0,10,192,167,173,150,2,1,719,495
3000,rescue,gameOver,24231,82309140b95ed204,0,25,189,166,230,164,3,1,1351,529
3001,rescue,victory,11649,5d40b906ba15c512,128,0,200,167,94,136,2,0,889,263
3002,rescue,victory,23056,9b7b7fb657068976,22,0,192,166,220,159,3.5,0,1080,564
3003,rescue,gameOver,23410,6cce5eb782f3c3b3,0,8,196,164,206,175,3,0,915,543
3004,rescue,gameOver,30148,a1c6d6dfdb7eccff,0,6,196,159,210,198,3,0,962,881
3005,rescue,victory,24629,fae85902438a232a,14,0,187,162,195,173,3,0,913,566
3006,rescue,victory,19804,faef8e91d918b565,68,0,207,166,192,147,4,0,1329,209
3007,rescue,victory,20757,f7ad4cb7ec8a9f23,56,0,179,170,207,164,3,0,1242,311
3008,rescue,victory,19934,3cba4b69e547e211,36,0,215,171,224,151,4.5,0,1306,381
3009,rescue,gameOver,31118,1d8b93a4d3f52514,0,3,197,166,267,148,3,0,1543,575
3010,rescue,victory,17337,9a432defb80a4143,68,0,198,165,181,124,3,1,1138,448
3011,rescue,victory,25821,3f89fdea646af95e,15,0,199,163,222,183,4,0,1195,485
3012,rescue,victory,28848,99173854f4857340,12,0,225,167,302,205,5,0,1982,855
3013,rescue,victory,26241,ea67baea44c4f6ba,2,0,186,166,193,165,1,0,626,436
3014,rescue,gameOver,29699,f6a750f9e90196dd,0,1,195,170,220,179,3,0,930,664
3015,rescue,victory,17591,bdd60fb43e8ecc80,90,0,197,167,174,177,3.5,1,1319,443
3016,rescue,victory,13877,1e25a208368cad24,177,0,217,167,121,155,3,0,1576,242
3017,rescue,victory,14869,afbd9a39e23c14ad,73,0,190,172,147,149,2,0,830,258
3018,rescue,victory,19942,769809b9433d97d5,54,0,196,169,179,165,2,1,1001,479
3019,rescue,gameOver,26431,429fbe0fc86f00cb,0,14,192,167,205,163,2,0,888,461
