seed,arm,outcome,finalTick,finalHash,playerFinalPop,rivalFinalPop,playerPeakPop,rivalPeakPop,playerStarvationDeaths,rivalStarvationDeaths,playerStarvationMedianDeliveries,rivalStarvationMedianDeliveries,playerFoodDelivered,rivalFoodDelivered
3000,unattended,victory,25649,deaf69d6f97a5e4e,12,0,191,166,228,166,3,1,1153,558
3001,unattended,gameOver,26880,ee158fcb1834267b,0,1,207,173,213,170,3,1,1193,690
3002,unattended,victory,34369,5ad6eb2ff5d2215f,1,0,203,172,233,178,4,0,1025,553
3003,unattended,gameOver,23265,562de6ff5c973f23,0,39,198,172,206,147,3,1,878,631
3004,unattended,victory,10033,6ffe67bf15a58ee7,143,0,201,175,74,98,1,0,727,273
3005,unattended,victory,27824,a0e7ce4cd5e5dca4,3,0,197,172,225,189,3,0,995,618
3006,unattended,victory,15342,c8ec16e52d759a2d,128,0,200,170,125,142,3,0,1146,391
3007,unattended,gameOver,41630,706fa7c489d013a0,0,38,187,170,216,171,4,0,1008,1057
3008,unattended,victory,22143,4f47a5ea3743256a,68,0,217,173,189,162,4,1,1348,572
3009,unattended,victory,14692,b326da2d536c76c9,140,0,203,170,117,145,1,0,1200,334
3010,unattended,gameOver,27153,3beca670609cd4a8,0,4,201,166,222,163,3,0,1111,708
3011,unattended,victory,32469,177f0cc01727f14c,10,0,195,169,201,187,3,0,1038,768
3012,unattended,gameOver,29016,5d90c2e9928b2abd,0,7,221,174,301,153,5,0,1745,652
3013,unattended,victory,20328,b590951dadc0c88d,12,0,185,163,165,160,1,0,648,408
3014,unattended,gameOver,29632,f1fd7e4130f103f9,0,44,199,168,214,163,3,2,962,987
3015,unattended,gameOver,28543,0e54bdd13fc8b3ed,0,28,205,168,245,162,4,1,1412,693
3016,unattended,victory,23288,48a2ff13f97c5537,76,0,237,174,226,188,6,0,1795,651
3017,unattended,victory,19180,d05fe0c4544db4a0,49,0,193,165,168,129,3,1,807,590
3018,unattended,gameOver,26613,bb4a70797561d519,0,27,198,171,212,146,3,1,961,512
3019,unattended,gameOver,26928,9c2f6e42ca8ef922,0,33,196,170,202,165,3,1,876,795
3000,rescue,gameOver,24710,872bd55b37319c53,0,2,191,166,237,184,3,0,1319,524
3001,rescue,victory,14750,aa4cda0bcd715b87,119,0,207,173,124,133,2,0,1131,440
3002,rescue,victory,30373,595f8654e4b71914,7,0,203,172,234,202,4,1,1213,983
3003,rescue,gameOver,27877,23ef3c95408bb0d5,0,20,198,172,220,181,3,1,1015,831
3004,rescue,victory,13895,6236c34600278f16,110,0,201,175,126,151,3,0,958,266
3005,rescue,gameOver,30097,1a469cd982dd369d,0,36,197,172,219,157,4,1,1070,798
3006,rescue,victory,25998,f46d18637796051f,36,0,200,170,232,168,4,0,1478,658
3007,rescue,victory,25075,99d47f9d57ec0285,12,0,187,170,229,195,3,0,1080,665
3008,rescue,gameOver,21051,150fcbe0c59bc160,0,31,217,173,217,158,5,0.5,1360,580
3009,rescue,victory,15438,16f5518328a3402b,148,0,210,170,129,148,1,0,1406,330
3010,rescue,gameOver,26463,c773046604f5ec52,0,15,201,166,247,179,3,1,1280,769
3011,rescue,victory,30352,bed154c12b8cda0d,1,0,195,169,233,176,3,0,1189,755
3012,rescue,gameOver,26443,0a8dccb38f79bc9f,0,22,234,174,307,164,5,0,1938,576
3013,rescue,gameOver,28496,a3021c824dfeef3e,0,37,185,163,201,148,2,1,817,784
3014,rescue,gameOver,24662,e5b1c47752e0d11f,0,37,199,168,223,148,3,1,1088,649
3015,rescue,gameOver,25665,8fd9814439fce6f0,0,30,205,168,256,170,4,1,1453,763
3016,rescue,victory,26353,4b37634e19583c82,14,0,239,174,302,187,5,0,1977,579
3017,rescue,victory,15067,79c6ec18f04fd814,120,0,193,165,107,103,3,0,918,382
3018,rescue,gameOver,25762,315e226cf9299898,0,15,198,171,224,150,3,1,1001,421
3019,rescue,gameOver,24113,23459dfc4d1ad5d8,0,49,196,170,198,144,3,1,953,715
